timepoint,   bins
Pre,         1.0    1.4116780319999997   2.1534653584   3.2888664879999996   4.508887516800001   7.138667988         7.807649887999999   8.247915712         15.982053324800003   21.392677953600007   30.0
Post1,       1.0    1.4385472992         2.1659026752   3.1639958856         3.9236781672        6.277986089099999   7.632180368999999   8.1787071168        14.464875953880012   20.342008413539997   30.0
Post2,       1.0    1.3555572259500002   2.013693741    3.108399867          4.3212615435        6.998444145000001   7.723535472         8.204236686         16.0594600536        21.2467916835        30.0
Post3,       1.0    1.4155009796         2.1949351852   3.3287494506         4.4958814994        7.0007730332        7.7559761236        8.2426176872        15.650069603840002   21.398699759080007   30.0
Post4,       1.0    1.407230454          2.161320231    3.3757379039999997   4.762576639800001   7.19767083          7.799327465999999   8.228361140999999   16.349716236         21.323276494799998   30.0
Post5,       1.0    1.3740026812         2.0826775784   3.1642384563599997   4.278460880080001   7.014167759199999   7.782318928         8.2036931912        17.461628498320003   21.66791139456       30.0
